START_DATE,START_TIME,SUBJECT,END_DATE,END_TIME,REMINDER_ON_OFF,REMINDER_DATE,REMINDER_TIME
7/18/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,7/18/2016,10:00pm,TRUE,7/18/2016,1:00 PM
7/19/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,7/19/2016,10:00pm,TRUE,7/19/2016,1:00 PM
7/20/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,7/20/2016,10:00pm,TRUE,7/20/2016,1:00 PM
7/25/2016,7:05pm,Drillers vs Springfield Cardinals,7/25/2016,10:00pm,TRUE,7/25/2016,1:00 PM
7/26/2016,7:05pm,Drillers vs Springfield Cardinals,7/26/2016,10:00pm,TRUE,7/26/2016,1:00 PM
7/27/2016,7:05pm,Drillers vs Springfield Cardinals,7/27/2016,10:00pm,TRUE,7/27/2016,1:00 PM
7/28/2016,7:05pm,Drillers vs Arkansas Travelers,7/28/2016,10:00pm,TRUE,7/28/2016,1:00 PM
7/29/2016,7:05pm,Drillers vs Arkansas Travelers,7/29/2016,10:00pm,TRUE,7/29/2016,1:00 PM
7/30/2016,7:05pm,Drillers vs Arkansas Travelers,7/30/2016,10:00pm,TRUE,7/30/2016,1:00 PM
7/31/2016,1:05pm,Drillers vs Arkansas Travelers,7/31/2016,4:00pm,TRUE,7/31/2016,9:00 AM
8/9/2016,7:05pm,Drillers vs Midland RockHounds,8/9/2016,10:00pm,TRUE,8/9/2016,1:00 PM
8/10/2016,7:05pm,Drillers vs Midland RockHounds,8/10/2016,10:00pm,TRUE,8/10/2016,1:00 PM
8/11/2016,7:05pm,Drillers vs Midland RockHounds,8/11/2016,10:00pm,TRUE,8/11/2016,1:00 PM
8/12/2016,7:05pm,Drillers vs Frisco RoughRiders,8/12/2016,10:00pm,TRUE,8/12/2016,1:00 PM
8/13/2016,7:05pm,Drillers vs Frisco RoughRiders,8/13/2016,10:00pm,TRUE,8/13/2016,1:00 PM
8/14/2016,1:05pm,Drillers vs Frisco RoughRiders,8/14/2016,4:00pm,TRUE,8/14/2016,9:00 AM
8/23/2016,7:05pm,Drillers vs Arkansas Travelers,8/23/2016,10:00pm,TRUE,8/23/2016,1:00 PM
8/24/2016,7:05pm,Drillers vs Arkansas Travelers,8/24/2016,10:00pm,TRUE,8/24/2016,1:00 PM
8/25/2016,7:05pm,Drillers vs Arkansas Travelers,8/25/2016,10:00pm,TRUE,8/25/2016,1:00 PM
8/26/2016,7:05pm,Drillers vs Arkansas Travelers,8/26/2016,10:00pm,TRUE,8/26/2016,1:00 PM
9/3/2016,7:05pm,Drillers vs Springfield Cardinals,9/3/2016,10:00pm,TRUE,9/3/2016,1:00 PM
9/4/2016,7:05pm,Drillers vs Springfield Cardinals,9/4/2016,10:00pm,TRUE,9/4/2016,1:00 PM
9/5/2016,6:05pm,Drillers vs Springfield Cardinals,9/5/2016,9:00pm,TRUE,9/5/2016,1:00 PM
